time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
3285,0,0,56,19,81,840,1276,674
3290,0,0,52,26,75,838,1289,645
3295,0,0,64,22,68,853,1300,627
3300,0,0,55,26,73,812,1246,678
3305,0,0,51,25,81,846,1272,636
3310,0,0,51,19,72,836,1243,673
3315,0,0,46,25,70,866,1279,627
3320,0,0,51,21,63,843,1254,667
3325,0,0,54,25,75,863,1301,632
3330,0,0,48,25,74,805,1249,689
3335,0,0,56,19,73,885,1306,638
3340,0,0,45,29,82,818,1249,688
3345,0,0,69,16,84,900,1359,588
3350,0,0,48,27,65,768,1247,708
3355,0,0,58,20,74,883,1351,606
3360,0,0,51,26,65,785,1229,709
3365,0,0,51,24,72,929,1331,608
3370,0,0,52,26,65,828,1220,712
3375,0,0,58,18,71,898,1259,668
3380,0,0,57,22,73,903,1266,666
3385,0,0,45,26,80,880,1253,686
3390,0,0,52,25,76,887,1273,671
3395,0,0,57,24,76,868,1257,678
3400,0,0,60,24,66,908,1268,678
3405,0,0,62,21,77,872,1260,678
3410,0,0,55,28,75,878,1280,649
3415,0,0,59,25,75,875,1274,660
3420,0,0,68,29,60,892,1261,671
3425,0,0,60,30,76,901,1274,660
3430,0,0,67,18,69,874,1253,683
3435,0,0,56,20,60,860,1254,664
3440,0,0,65,24,73,870,1255,656
3445,0,0,52,30,58,857,1242,685
3450,0,0,58,32,69,902,1287,648
3455,0,0,73,26,77,872,1292,651
3460,0,0,58,23,70,846,1238,707
3465,0,0,58,21,79,894,1303,639
3470,0,0,60,29,91,844,1249,696
3475,0,0,49,36,89,915,1345,609
3480,0,0,67,19,97,818,1226,722
3485,0,0,55,32,90,924,1383,574
3490,0,0,62,25,96,789,1238,716
3495,0,0,60,28,81,908,1330,622
3500,0,0,63,33,73,815,1232,723
3505,0,0,71,24,68,928,1359,599
3510,0,0,60,33,74,787,1257,695
3515,0,0,57,40,81,896,1342,623
3520,0,0,71,21,87,827,1281,679
3525,0,0,57,28,92,888,1313,651
3530,0,0,58,38,90,848,1295,663
3535,0,0,71,25,78,883,1299,660
3540,0,0,64,32,61,849,1281,675
3545,0,0,64,28,76,879,1305,658
3550,0,0,63,24,69,853,1289,675
3555,0,0,68,28,76,860,1312,648
3560,0,0,71,28,84,821,1272,676
3565,0,0,60,32,81,857,1302,641
3570,0,0,63,27,86,833,1279,674
3575,0,0,49,36,82,890,1312,653
3580,0,0,77,27,81,841,1262,706
3585,0,0,55,30,85,905,1295,659
3590,0,0,58,29,69,904,1265,700
3595,0,0,60,29,80,913,1295,674
3600,0,0,53,24,74,868,1226,728
3605,0,0,57,23,73,932,1308,628
3610,0,0,48,30,81,836,1239,712
3615,0,0,59,28,78,911,1321,624
3620,0,0,57,30,77,863,1258,694
3625,0,0,56,32,75,886,1300,657
3630,0,0,57,32,77,841,1251,691
3635,0,0,61,25,86,938,1296,650
3640,0,0,63,33,85,850,1229,714
3645,0,0,72,27,68,913,1287,652
3650,0,0,54,35,58,871,1236,703
3655,0,0,58,17,74,948,1288,658
3660,0,0,48,33,76,867,1239,713
3665,0,0,57,28,76,943,1300,642
3670,0,0,58,33,65,886,1278,681
3675,0,0,59,34,89,880,1283,675
3680,0,0,52,35,84,917,1295,679
3685,0,0,75,20,84,893,1297,686
3690,0,0,62,33,95,895,1278,703
3695,0,0,60,37,80,930,1316,659
3700,0,0,75,34,76,868,1248,719
3705,0,0,59,33,87,959,1355,633
3710,0,0,65,36,77,847,1243,750
3715,0,0,74,30,57,960,1351,644
3720,0,0,62,37,76,846,1251,730
3725,0,0,81,31,72,946,1321,658
3730,0,0,72,42,60,889,1286,698
3735,0,0,71,27,78,942,1311,681
3740,0,0,66,30,83,880,1248,722
3745,0,0,68,27,68,943,1287,688
3750,0,0,69,32,64,926,1289,700
3755,0,0,61,21,80,918,1289,709
3760,0,0,57,31,73,953,1329,675
3765,0,0,60,28,69,901,1282,713
3770,0,0,57,32,57,915,1310,689
3775,0,0,49,37,65,894,1291,705
3780,0,0,59,28,93,930,1332,665
3785,0,0,64,35,67,887,1301,696
3790,0,0,61,41,85,889,1299,680
3795,0,0,66,30,96,889,1271,695
3800,0,0,66,29,94,924,1265,704
3805,0,0,66,23,74,898,1300,661
3810,0,0,53,29,77,881,1280,691
3815,0,0,64,29,77,873,1264,693
3820,0,0,54,36,79,906,1303,657
3825,0,0,68,21,84,861,1293,677
3830,0,0,66,29,75,888,1314,647
3835,0,0,51,28,84,837,1274,681
3840,0,0,63,35,86,889,1273,674
3845,0,0,64,27,72,884,1296,662
3850,0,0,54,29,81,884,1291,688
3855,0,0,60,26,68,884,1309,674
3860,0,0,53,33,76,850,1267,704
3865,0,0,69,21,80,895,1284,669
3870,0,0,49,33,81,881,1260,690
3875,0,0,63,24,75,901,1291,652
3880,0,0,59,34,86,858,1263,677
3885,0,0,68,20,89,880,1277,670
3890,0,0,67,29,83,851,1254,685
3895,0,0,59,32,72,893,1299,642
3900,0,0,64,25,76,862,1261,688
3905,0,0,52,25,74,904,1311,643
3910,0,0,53,16,79,828,1255,708
3915,0,0,56,25,67,877,1326,632
3920,0,0,55,34,74,835,1272,696
3925,0,0,66,32,92,903,1311,660
3930,0,0,64,24,85,873,1301,677
3935,0,0,55,32,100,860,1320,657
3940,0,0,68,25,88,856,1316,676
3945,0,0,56,30,79,880,1333,648
3950,0,0,60,22,74,839,1274,698
3955,0,0,56,21,96,879,1330,649
3960,0,0,45,33,87,829,1295,681
3965,0,0,60,22,71,879,1322,641
3970,0,0,45,22,80,840,1263,703
3975,0,0,45,24,87,879,1300,661
3980,0,0,65,23,80,849,1307,663
3985,0,0,53,32,69,853,1316,651
3990,0,0,68,17,65,841,1282,673
3995,0,0,53,23,81,853,1279,675
4000,0,0,62,25,66,865,1302,650
4005,0,0,60,27,76,829,1277,679
4010,0,0,56,29,66,840,1296,656
4015,0,0,62,18,65,840,1292,649
4020,0,0,52,31,63,824,1274,675
4025,0,0,70,27,52,877,1338,624
4030,0,0,62,31,60,805,1266,706
4035,0,0,69,30,69,911,1341,633
4040,0,0,61,38,75,823,1271,693
4045,0,0,67,22,63,905,1335,629
4050,0,0,50,28,67,820,1280,690
4055,0,0,62,30,78,874,1325,636
4060,0,0,64,24,91,866,1280,674
4065,0,0,60,28,76,852,1254,680
4070,0,0,66,27,84,929,1301,644
4075,0,0,48,33,77,855,1269,684
4080,0,0,64,24,90,877,1309,645
4085,0,0,57,26,94,830,1275,681
4090,0,0,52,32,77,880,1307,648
4095,0,0,65,26,76,852,1271,668
4100,0,0,58,25,78,907,1322,626
4105,0,0,51,24,73,836,1252,697
4110,0,0,57,24,74,893,1301,642
4115,0,0,54,28,89,822,1231,709
4120,0,0,58,25,68,924,1337,605
4125,0,0,55,26,81,807,1221,720
4130,0,0,51,33,74,932,1327,614
4135,0,0,61,18,66,839,1224,721
4140,0,0,57,29,58,915,1295,635
4145,0,0,49,43,69,837,1245,681
4150,0,0,69,21,82,905,1265,658
4155,0,0,50,25,73,843,1246,674
4160,0,0,48,25,89,897,1293,643
4165,0,0,48,25,81,849,1265,667
4170,0,0,61,21,71,857,1290,643
4175,0,0,47,28,84,836,1250,692
4180,0,0,49,23,82,910,1287,653
4185,0,0,57,22,77,882,1291,659
4190,0,0,51,25,75,870,1325,631
4195,0,0,54,29,80,835,1285,676
4200,0,0,64,14,73,895,1330,631
4205,0,0,40,30,74,830,1276,687
4210,0,0,52,24,75,902,1319,644
4215,0,0,67,31,79,837,1261,690
4220,0,0,62,21,71,900,1290,667
4225,0,0,56,28,73,880,1286,647
4230,0,0,52,25,68,872,1261,687
4235,0,0,60,21,71,890,1290,662
4240,0,0,54,28,68,850,1290,657
4245,0,0,54,22,74,850,1287,656
4250,0,0,46,34,74,847,1294,642
4255,0,0,61,18,74,840,1260,676
4260,0,0,48,21,73,854,1289,644
4265,0,0,54,25,69,865,1283,652
4270,0,0,51,28,87,851,1249,682
4275,0,0,58,24,60,888,1258,673
4280,0,0,50,31,59,876,1256,674
4285,0,0,55,23,70,886,1263,657
4290,0,0,47,35,70,867,1257,675
4295,0,0,56,31,68,883,1262,668
4300,0,0,51,30,60,876,1260,667
4305,0,0,63,25,61,878,1270,664
4310,0,0,47,28,68,886,1307,647
4315,0,0,65,24,68,865,1300,662
4320,0,0,57,23,70,871,1268,706
4325,0,0,51,31,80,879,1317,645
4330,0,0,65,24,70,874,1269,686
4335,0,0,66,26,71,899,1261,682
4340,0,0,57,32,62,895,1308,644
4345,0,0,60,33,63,832,1266,683
4350,0,0,60,25,77,862,1285,643
4355,0,0,54,19,79,843,1259,669
4360,0,0,56,28,88,836,1262,652
4365,0,0,66,22,79,831,1237,660
4370,0,0,52,26,72,877,1234,668
4375,0,0,58,20,75,874,1228,663
4380,0,0,40,26,66,876,1244,659
4385,0,0,54,20,83,889,1220,668
4390,0,0,50,31,75,896,1218,662
4395,0,0,70,23,71,899,1230,657
4400,0,0,61,37,62,906,1257,635
4405,0,0,64,32,77,877,1227,686
4410,0,0,58,36,77,914,1285,633
4415,0,0,69,28,71,849,1242,671
4420,0,0,60,31,76,882,1267,647
4425,0,0,61,28,68,876,1256,664
4430,0,0,63,26,80,886,1274,661
4435,0,0,56,30,84,861,1261,660
4440,0,0,60,26,71,894,1267,668
4445,0,0,57,24,71,871,1276,668
4450,0,0,55,24,75,872,1281,668
4455,0,0,60,26,84,849,1277,668
4460,0,0,57,28,83,866,1273,666
4465,0,0,59,32,81,868,1265,663
4470,0,0,64,34,78,857,1256,664
4475,0,0,73,27,84,869,1276,646
4480,0,0,65,40,80,838,1268,656
4485,0,0,75,23,64,892,1273,663
4490,0,0,60,29,65,881,1283,666
4495,0,0,58,27,74,840,1276,663
4500,0,0,57,31,77,890,1303,657
4505,0,0,61,23,86,878,1284,691
4510,0,0,67,26,80,889,1297,681
4515,0,0,58,30,76,869,1274,689
4520,0,0,65,23,69,903,1293,675
4525,0,0,54,35,71,850,1298,668
4530,0,0,68,27,79,854,1282,667
4535,0,0,62,25,78,872,1284,667
4540,0,0,59,30,87,840,1259,687
4545,0,0,60,31,87,910,1335,623
4550,0,0,62,25,87,865,1281,696
4555,0,0,57,28,97,891,1335,642
4560,0,0,58,37,82,842,1309,679
4565,0,0,62,18,83,860,1339,650
4570,0,0,50,33,90,833,1284,693
4575,0,0,56,30,81,891,1329,647
4580,0,0,68,31,88,827,1290,684
4585,0,0,65,36,81,869,1312,653
4590,0,0,64,29,70,830,1254,688
4595,0,0,62,32,78,867,1286,645
4600,0,0,63,31,70,849,1300,618
4605,0,0,70,27,78,788,1230,686
4610,0,0,60,16,76,890,1278,619
4615,0,0,44,38,82,812,1209,686
4620,0,0,66,15,74,896,1264,628
4625,0,0,42,40,83,827,1219,660
4630,0,0,67,24,67,901,1233,651
4635,0,0,54,40,82,875,1225,657
4640,0,0,71,33,85,889,1246,640
4645,0,0,73,37,87,866,1218,665
4650,0,0,76,31,84,892,1247,637
4655,0,0,70,25,85,856,1213,674
4660,0,0,71,24,73,873,1232,660
4665,0,0,55,34,74,873,1263,639
4670,0,0,63,31,85,858,1262,647
4675,0,0,68,25,69,879,1266,647
