,abs_phosphatase_grad,kcat/Km,phosphatase_conc,meg3_grad,meg3p_grad,meg3-rna_grad,fast_meg3_grad,total_meg3_grad
362,0.8393889785984552,4.9522819629348426e-05,2266.4347933389777,0.5745504154781098,-0.9727818435983882,0.6027453813603054,-0.007689094481488912,0.13310718324108795
363,0.27034600963579736,1.506799826894168e-06,2047.5971658936035,0.5777777777777777,-0.03355311982645426,0.6142738128297696,0.025342412752456855,0.051479559767805716
364,0.44943394421662186,2.4668048257667413e-06,909.9769715043496,0.6451559663310777,-0.06453341606848229,0.6708551483420593,-0.00866593909157043,0.015720316159983927
365,0.3078231465309448,7.634431261529244e-05,2588.3194562949584,0.21686917608406275,-0.21651557606724903,0.35437930215998104,0.016589988117363896,0.08559410381361054
366,0.8266948581590647,7.5560206129756515e-06,2872.3419661413486,0.6877347858752818,-0.5442863577352093,0.6856357664722836,0.020462927088266136,0.13775618750443241
367,0.11929399899900106,6.890044147153687e-06,2856.6268722367727,0.30982853392402987,-0.1900021925016444,0.4442943956785955,-0.015902726181631133,0.05072339801554315
368,0.947112857655998,4.139804287524203e-06,2701.902759399868,0.8304225575224744,-0.4407544426148877,0.7928060036228759,0.0049712555891908705,0.11421292475510414
369,0.4262912953121375,1.3190140368023134e-05,891.3876405300136,0.5355624552185336,-0.25923350485764796,0.5951209717899808,-0.02576191277992934,0.050376097206662696
370,0.003969865791570104,1.7561917755968884e-05,571.3254393383505,0.37563451776649737,-0.11694497966174255,0.47588864031817046,-0.0036402599008200642,0.04408544957510252
371,0.39204933140369924,1.8488178310798405e-05,2950.056812771724,0.30375456537618695,-0.28819810326659634,0.4181662382176521,0.016498473477613573,0.09572734187301546
372,0.18726999746936823,1.1000233061290216e-06,2092.1093224643378,0.5511240029006527,0.0024985322829484957,0.612237375598968,0.04092230729186508,0.059946975648075385
373,0.675969069515691,3.479092908437372e-06,1169.1558309378127,0.7161137007586145,-0.16027508851082506,0.7280246201192537,-0.03204279505182206,0.01736814464701031
374,0.8963386856118992,2.2323171711472843e-05,2581.1377178050707,0.662785165151629,-0.9971496803019797,0.6492676431424766,0.008786706123378174,0.15080902326680057
375,0.6141935785185847,2.605388848403192e-05,1816.7925983492394,0.43525913338997446,-0.5117205354227881,0.4886260236578709,-0.004625417045799107,0.09402487109493485
376,0.3979787640324447,0.00011707354358955612,2488.9982388729536,0.25806451612903236,-0.3172239878402652,0.3951160233782768,0.001616902015737831,0.08432254925808813
377,0.1458606169065465,3.190540365541e-05,1708.5106477484212,0.17081329043356375,-0.20343548000957634,0.32069447216124525,-0.022158100205224684,0.0423972945891784
378,0.6472666458487385,2.8003663539232514e-05,679.6165217621655,0.5804931623326011,-0.35805387189628135,0.6206357477853048,0.015290950857561603,0.11164829956155953
379,0.4166651554965626,4.9857886588983144e-05,2911.8438709641296,0.2450914014895058,-0.3310641844956932,0.383186877562976,-0.013138231631382391,0.07006518263436223
380,0.7079708897750334,8.846183331234225e-06,747.143781586672,0.7201533406352683,-0.20843087303773067,0.7316883116883117,-0.003676371930766198,0.06518302322753244
381,0.48759862414076804,4.450048838327501e-05,403.50915567686883,0.4918178997983558,-0.2932135683495454,0.56648244473342,-0.004408177240110112,0.08083639761653383
382,0.3740272159785073,1.3656274545121894e-05,1856.8988598196295,0.3878841088674275,-0.28362099509034766,0.4937150330596527,-0.0023827383841503735,0.08113562970936494
383,0.970438763962452,8.898168669177981e-06,358.68168688728986,0.8865969845527704,-0.14002512068521944,0.865993396776073,0.004317744368725118,0.05839763045306623
384,0.9543521732577136,2.2141682362692406e-05,1999.6564419751778,0.7491902834008097,-1.1413272208026455,0.7274266067177996,-0.011567773543821325,0.15272175641191477
385,0.7774232867819008,1.580921013638906e-05,1689.5675319350619,0.6160645775145024,-0.6407600314254951,0.6357602967011518,-0.029112146740753797,0.09502289927961416
386,0.48087782586871053,2.138300950828407e-05,1480.4138204187445,0.41802991166810166,-0.33609330729238307,0.49692554471327366,0.013158672022684281,0.10070880808960492
387,0.24440679991321868,1.830159361463798e-05,2100.362173901268,0.2623793159875635,-0.23658002052875404,0.4089342434277218,-0.007672442269000879,0.06805980417449853
388,0.5428573242968395,7.207272621376137e-07,77.55977664051062,0.8490566037735849,-0.011124923888776284,0.8627450980392157,-0.008817873589393344,-0.007694640285042853
389,0.8960593847667537,8.238608678111042e-05,69.15408433935677,0.8190801976434816,-0.21768134496816138,0.79639068742251,0.00010645659232455529,0.0702488866237092
390,0.04742916537037012,7.438466621885643e-06,2784.496629228941,0.27868049318200383,-0.16786463681414343,0.3997431506849315,-0.010015586214858763,0.049091043817615976
391,0.05798388053998971,1.4291683769355018e-05,1574.3009365144837,0.27921726351612663,-0.1681250994385981,0.40847444025359125,-0.002533820055829805,0.05968462996258328
392,0.1224670626613239,2.1182838572535133e-05,1436.1869162747548,0.2327095488828803,-0.1974822366388631,0.37519494987003343,-0.016877763173617,0.048770782297275495
393,0.5883024070580124,8.085353855026933e-05,1606.8808580864622,0.35874893435635125,-0.4667996373526744,0.44816335714687505,0.009122882462256565,0.10328394942573105
394,0.932305428013898,2.0221920854019297e-06,382.38414182797,0.8711613130956584,-0.04611379695053919,0.8318654923939152,-0.012851200000000063,0.0004409504371708506
395,0.0048611992989368025,1.8560276035328105e-05,1486.5680500425967,0.1961266523209345,-0.1455662522374339,0.3568988799745809,-0.01356767508832335,0.04476267900694142
396,0.12723157213606295,1.9195180581951607e-06,1696.9674675537078,0.4855142111767129,-0.07161329691404639,0.539064769096718,-0.0183022164995863,0.005819946200065429
397,0.1538012224688462,3.670747188667968e-05,1339.1953959688963,0.18707591857636663,-0.1709656851379553,0.306307534947153,-0.0008213177587150788,0.055190081205775066
398,0.03829401884176287,1.474951544793926e-05,1199.5163710290817,0.2955750634998441,-0.1846845886541455,0.4029566046733428,-0.029272653861683207,0.027494895594553648
399,0.8078097881685368,3.5685755310474004e-05,1247.8097436167889,0.5876571489452376,-0.771443424016635,0.6222564497497112,-0.002966912152291279,0.13141715339686433
400,0.9632617092005558,1.2232592737490825e-05,2824.6912996276305,0.7639056265231248,-1.0632753049098302,0.7222030981067126,-0.03138233514821542,0.12582884500299218
401,0.5254003756102129,0.0001238650743351333,796.1043223644576,0.3355031861129423,-0.37759451124432597,0.4395503026808878,0.0201939724516218,0.10824093352055386
